iteration;agentId;positionBefore;positionAfter;personalBest;personalBestFitness;globalBest;globalBestFitness;popAvgFitness;popStdDev;distToOptimum
2;18;[6.7573778700,-11.0001528363];[6.7573778700,-11.0001528363];[6.7573778700,-11.0001528363];17.8089321190;[0.9205110743,0.3634930221];4.2121281208;11.5506464581;4.5912078585;0.9896806631
2;4;[-8.1048193815,-9.4689912787];[-5.6218213932,-5.1253568334];[-5.6218213932,-5.1253568334];14.9059747064;[0.9205110743,0.3634930221];4.2121281208;11.4349361618;4.4595563115;0.9896806631
2;14;[-14.1571286490,-4.5193371893];[-2.1274792558,-4.6229506282];[-2.1274792558,-4.6229506282];11.9902621961;[0.9205110743,0.3634930221];4.2121281208;11.1855662134;4.2051079344;0.9896806631
2;24;[-8.3019078636,-5.3329229856];[-6.4337193332,-5.2181833940];[-6.4337193332,-5.2181833940];15.8212390014;[0.9205110743,0.3634930221];4.2121281208;11.1429572191;4.1510972900;0.9896806631
2;48;[1.1974916995,-4.1699093670];[1.1974916995,-4.1699093670];[1.1974916995,-4.1699093670];10.3932941745;[0.9205110743,0.3634930221];4.2121281208;11.1429572191;4.1510972900;0.9896806631
2;19;[-9.1583364880,-4.2820511242];[-7.8000156898,-7.9909766889];[-7.8000156898,-7.9909766889];16.6728020942;[0.9205110743,0.3634930221];4.2121281208;11.1406194440;4.1479614540;0.9896806631
2;5;[-1.5595205211,-3.0896279251];[-0.8075347050,0.6715838784];[-0.8075347050,0.6715838784];4.5368108261;[0.9205110743,0.3634930221];4.2121281208;10.9751555444;4.3060702168;0.9896806631
2;10;[-2.9358968678,8.3658869923];[-2.2611841929,5.2008504036];[-2.2611841929,5.2008504036];12.6258765281;[0.9205110743,0.3634930221];4.2121281208;10.8668670484;4.2215179944;0.9896806631
2;28;[3.9052216841,-2.8188362432];[-1.7439006803,1.1886097674];[-1.7439006803,1.1886097674];6.6950427716;[0.9205110743,0.3634930221];4.2121281208;10.7323058122;4.2874977931;0.9896806631
2;20;[-1.7033183781,0.6774872307];[-1.7033183781,0.6774872307];[-1.7033183781,0.6774872307];6.5910360883;[0.9205110743,0.3634930221];4.2121281208;10.7323058122;4.2874977931;0.9896806631
2;51;[-1.7033183781,-2.3758191931];[-1.4721857155,-1.3776606354];[-1.4721857155,-1.3776606354];7.2534755216;[0.9205110743,0.3634930221];4.2121281208;10.7323058122;4.2874977931;0.9896806631
2;52;[0.9205110743,0.3634930221];[0.9205110743,0.3634930221];[0.9205110743,0.3634930221];4.2121281208;[0.9205110743,0.3634930221];4.2121281208;10.6200854803;4.2623293059;0.9896806631
2;53;[-1.7033183781,-1.0495688006];[-0.8629278270,-1.0495688006];[-0.8629278270,-1.0495688006];3.9854505967;[0.9205110743,0.3634930221];4.2121281208;10.4198368128;4.3408298352;0.9896806631
2;54;[0.8342934482,-2.3758191931];[0.8342934482,-2.3732150517];[0.8342934482,-2.3732150517];7.7978479795;[0.9205110743,0.3634930221];4.2121281208;10.2248554123;4.4145642477;0.9896806631
2;55;[-0.6119721433,-4.2803514703];[1.1831257557,-2.5171395284];[1.1831257557,-2.5171395284];8.4763646095;[0.9205110743,0.3634930221];4.2121281208;10.1534728407;4.3684482925;0.9896806631
2;56;[6.0556410823,1.7351659213];[3.2745828565,-2.0702502332];[3.2745828565,-2.0702502332];9.6996222030;[0.9205110743,0.3634930221];4.2121281208;10.1055554627;4.3146458416;0.9896806631
2;57;[-0.6119721433,9.0279375921];[-0.6119721433,3.2445335596];[-0.6119721433,3.2445335596];9.4850738758;[0.9205110743,0.3634930221];4.2121281208;10.0942795388;4.2548211556;0.9896806631
2;58;[0.4725706230,4.9981533511];[0.4725706230,4.9981533511];[0.4725706230,4.9981533511];11.8779776431;[0.9205110743,0.3634930221];4.2121281208;10.0778145209;4.1980922673;0.9896806631
2;59;[10.0223453014,-7.0909142516];[10.0223453014,-7.0909142516];[10.0223453014,-7.0909142516];16.6961717002;[0.9205110743,0.3634930221];4.2121281208;10.1251872346;4.1524961421;0.9896806631
2;60;[2.6598505178,-0.9206154425];[2.6598505178,-0.9206154425];[2.6598505178,-0.9206154425];8.0995427347;[0.9205110743,0.3634930221];4.2121281208;10.2936740158;4.2284543846;0.9896806631
2;61;[10.0223453014,-0.6709647489];[8.8506760745,-0.6709647489];[8.8506760745,-0.6709647489];15.9592116820;[0.9205110743,0.3634930221];4.2121281208;10.2388207338;4.1892931671;0.9896806631
2;62;[1.7326056348,-7.0909142516];[2.1374525928,-7.0909142516];[2.1374525928,-7.0909142516];13.5937336279;[0.9205110743,0.3634930221];4.2121281208;10.3783424642;4.2309309457;0.9896806631
2;63;[-7.8000156898,-7.9909766889];[-7.8000156898,-7.9909766889];[-7.8000156898,-7.9909766889];16.6728020942;[0.9205110743,0.3634930221];4.2121281208;10.4548993967;4.2089033274;0.9896806631
2;64;[-5.6218213932,-5.1253568334];[-5.6218213932,-5.1253568334];[-5.6218213932,-5.1253568334];14.9059747064;[0.9205110743,0.3634930221];4.2121281208;10.5995017850;4.2639309671;0.9896806631
2;65;[-7.8000156898,-7.9909766889];[-7.8000156898,-7.9909766889];[-7.8000156898,-7.9909766889];16.6728020942;[0.9205110743,0.3634930221];4.2121281208;10.6973761696;4.2637793447;0.9896806631
2;66;[-2.1274792558,-4.6229506282];[-2.1274792558,-4.6229506282];[-2.1274792558,-4.6229506282];11.9902621961;[0.9205110743,0.3634930221];4.2121281208;10.8301634124;4.3071622106;0.9896806631
2;67;[-1.7033183781,0.6715838784];[-0.8799205587,0.6715838784];[-0.8799205587,0.6715838784];4.4800506024;[0.9205110743,0.3634930221];4.2121281208;10.8553829511;4.2634458810;0.9896806631
2;68;[-0.8075347050,0.6774872307];[-0.8075347050,0.6774872307];[-0.8075347050,0.6774872307];4.5303627375;[0.9205110743,0.3634930221];4.2121281208;10.7197375820;4.3170141724;0.9896806631
2;69;[-2.2611841929,0.6774872307];[-1.8962243534,0.6774872307];[-1.8962243534,0.6774872307];6.4803851902;[0.9205110743,0.3634930221];4.2121281208;10.5907922728;4.3623173416;0.9896806631
2;70;[-1.7033183781,5.2008504036];[-1.9850369790,5.2008504036];[-1.9850369790,5.2008504036];11.7014398996;[0.9205110743,0.3634930221];4.2121281208;10.5069064139;4.3565143472;0.9896806631
2;33;[1.6678823210,0.3353874442];[1.6678823210,0.3353874442];[1.6678823210,0.3353874442];6.3899290528;[0.9205110743,0.3634930221];4.2121281208;10.5307970836;4.3159703837;0.9896806631
2;41;[2.6382825544,-0.6709647489];[0.8515709634,-0.3630456880];[0.8515709634,-0.3630456880];4.2002485350;[0.9205110743,0.3634930221];4.2121281208;10.4440323554;4.3979771464;0.9896806631
2;45;[1.9270316106,-4.2658122520];[-0.5785957212,-2.5467026133];[-0.5785957212,-2.5467026133];8.4954619805;[0.9205110743,0.3634930221];4.2121281208;10.3957082284;4.4058407394;0.9896806631
2;1;[14.9136133346,12.0077334453];[8.5648940432,7.3790109930];[8.5648940432,7.3790109930];18.2356481538;[0.9205110743,0.3634930221];4.2121281208;10.3832956280;4.3828012541;0.9896806631
2;18;[6.7573778700,-11.0001528363];[4.0705398181,-9.7409879177];[4.0705398181,-9.7409879177];16.6973095452;[0.9205110743,0.3634930221];4.2121281208;10.3610631765;4.3477564835;0.9896806631
2;51;[-1.4721857155,-1.3776606354];[-1.4721857155,-1.3776606354];[-1.4721857155,-1.3776606354];7.2534755216;[0.9205110743,0.3634930221];4.2121281208;10.3610631765;4.3477564835;0.9896806631
2;52;[0.9205110743,0.3634930221];[0.2952833201,-0.0161956295];[0.2952833201,-0.0161956295];2.1083484219;[0.9205110743,0.3634930221];4.2121281208;10.3189875826;4.4166926602;0.9896806631
2;53;[-0.8629278270,-1.0495688006];[-0.8629278270,-1.0495688006];[-0.8629278270,-1.0495688006];3.9854505967;[0.9205110743,0.3634930221];4.2121281208;10.3189875826;4.4166926602;0.9896806631
2;54;[0.8342934482,-2.3732150517];[-0.1747522005,-1.6245355873];[-0.1747522005,-1.6245355873];5.9637685392;[0.9205110743,0.3634930221];4.2121281208;10.2823059938;4.4450044180;0.9896806631
2;55;[1.1831257557,-2.5171395284];[-0.2860822973,-1.4932007675];[-0.2860822973,-1.4932007675];6.0453316917;[0.9205110743,0.3634930221];4.2121281208;10.2336853354;4.4776680143;0.9896806631
2;56;[3.2745828565,-2.0702502332];[3.2745828565,-2.0702502332];[3.2745828565,-2.0702502332];9.6996222030;[0.9205110743,0.3634930221];4.2121281208;10.2336853354;4.4776680143;0.9896806631
2;57;[-0.6119721433,3.2445335596];[-0.7100973915,1.2331465719];[-0.7100973915,1.2331465719];5.4326935523;[0.9205110743,0.3634930221];4.2121281208;10.1526377289;4.5268890192;0.9896806631
2;58;[0.4725706230,4.9981533511];[0.0019642121,3.1876691718];[0.0019642121,3.1876691718];7.9806390462;[0.9205110743,0.3634930221];4.2121281208;10.0746909570;4.5300622624;0.9896806631
2;59;[10.0223453014,-7.0909142516];[4.0642867012,-0.0423525146];[4.0642867012,-0.0423525146];8.8964993196;[0.9205110743,0.3634930221];4.2121281208;9.9186975094;4.4326078906;0.9896806631
2;60;[2.6598505178,-0.9206154425];[2.6598505178,-0.9206154425];[2.6598505178,-0.9206154425];8.0995427347;[0.9205110743,0.3634930221];4.2121281208;9.9186975094;4.4326078906;0.9896806631
2;61;[8.8506760745,-0.6709647489];[3.0250047801,-0.9374249949];[3.0250047801,-0.9374249949];7.3380712444;[0.9205110743,0.3634930221];4.2121281208;9.7462747006;4.3613896290;0.9896806631
2;62;[2.1374525928,-7.0909142516];[-0.5384033640,1.4478218610];[-0.5384033640,1.4478218610];6.2597220046;[0.9205110743,0.3634930221];4.2121281208;9.5995944682;4.3528458042;0.9896806631
2;63;[-7.8000156898,-7.9909766889];[-4.3987263680,-5.3680734086];[-4.3987263680,-5.3680734086];14.7460264837;[0.9205110743,0.3634930221];4.2121281208;9.5610589559;4.2982428430;0.9896806631
